Arlette Chabot,Arlette Chabot,1 696
Arlette Grüss,Arlette Gruss,556
Arlette Laguiller,Arlette Laguiller,2 798
Arletti,Turnera diffusa,1 343
Armand Amar,Armand Amar,1 496
Armande Altaï,Armande Altaï,1 301
Arnold Schwarzenegger,Arnold Schwarzenegger,48 340
Art Garfunkel,Art Garfunkel,7 492
Art Spiegelman,Art Spiegelman,3 234
Arthur Conan Doyle (Sir),Arthur Conan Doyle,12 617
Arthur Miller,Arthur Miller,4 143
Arthur Rimbaud,Arthur Rimbaud,72 048
Arturo Brachetti,Arturo Brachetti,1 468
Ashanti,Ashantis,1 899
Ashton Kutcher,Ashton Kutcher,20 004
Audrey Hepburn,Audrey Hepburn,29 268
Auguste Bartholdi,Auguste Bartholdi,6 850
Auguste Escoffier,Auguste Escoffier,3 409
Auguste Rodin,Auguste Rodin,14 719
Augustin Legrand,Augustin Legrand,990
Augusto Pinochet,Augusto Pinochet,13 223
Aung San Suu Kyi,Aung San Suu Kyi,7 321
Aure Atika,Aure Atika,10 572
Ava Gardner,Ava Gardner,8 402
Avicenne,Avicenne,9 064
Avril Lavigne,Avril Lavigne,16 271
Axel Bauer,Axel Bauer,16 871
Axel Foley,Axel Foley,674
Axelle Red,Axelle Red,9 447
Ayo,Ayọ,2 577
Bachar el-Assad,Bachar el-Assad,11 883
Bachar Mar-Khalifé,Bachar Mar-Khalifé,1 791
Ban Ki-moon,Ban Ki-moon,3 303
Banksy,Banksy,23 651
Barack Obama,Barack Obama,42 348
Barbara,Barbara,21 325
Barry White,Barry White,7 675
Beate Klarsfeld,Beate Klarsfeld,2 100
Béatrice Dalle,Béatrice Dalle,13 835
Ben Affleck,Ben Affleck,25 633
Ben Harper,Ben Harper,7 622
Ben Kingsley,Ben Kingsley,4 746
Bénabar,Bénabar,20 487
Benazir Bhutto,Benazir Bhutto,3 323
Benicio Del Toro,Benicio del Toro,11 378
Benito Mussolini,Benito Mussolini,32 895
Benjamin Biolay,Benjamin Biolay,15 873
Benjamin Castaldi,Benjamin Castaldi,32 450
Benjamin Franklin,Benjamin Franklin,14 705
Benjamin Millepied,Benjamin Millepied,7 807
Benoît Magimel,Benoît Magimel,13 825
Benoit Podalydès,Denis Podalydès,14 953
Benoît Poelvoorde,Benoît Poelvoorde,18 008
Benoit XVI,Benoît XVI,16 851
Benynamin Netanyahou,NULL,NULL
Bérénice Bejo,Bérénice Bejo,14 474
Bernadette Chirac,Bernadette Chirac,48 796
Bernadette Lafont,Bernadette Lafont,74 173
Bernard Blier,Bernard Blier,12 699
Bernard Campan,Bernard Campan,4 568
Bernard Cazeneuve,Bernard Cazeneuve,6 886
Bernard Clavel,Bernard Clavel,2 593
Bernard Hinault,Bernard Hinault,8 993
Bernard Kouchner,Bernard Kouchner,11 757
Bernard Laporte,Bernard Laporte,6 915
Bernard Le Coq,Bernard Le Coq,4 742
Bernard Maris,Bernard Maris,2 284
Bernard Ménez,Bernard Ménez,3 111
Bernard Pivot,Bernard Pivot,12 794
Bernard Thibault,Bernard Thibault,1 707
Bernard Werber,Bernard Werber,10 289
Bernard-Henri Levy,Bernard-Henri Lévy,23 843
Berthe Morissot,Berthe Morisot,4 748
Bertrand Blier,Bertrand Blier,7 430
Bertrand Burgalat,Bertrand Burgalat,2 326
Bertrand cantat,Bertrand Cantat,72 051
Bertrand Delanoë,Bertrand Delanoë,6 058
Beth Ditto,Beth Ditto,3 118
Betty Friedan,Betty Friedan,396
Bill Clinton,Bill Clinton,26 076
Bill Cosby,Bill Cosby,6 179
Bill Gates,Bill Gates,30 037
Bill Murray,Bill Murray,10 850
Billie Holliday,Billie Holiday,6 930
Billy Crawford,Billy Crawford,6 162
Billy Joel,Billy Joel,3 559
Björk,Björk,14 651
Björn Borg,Björn Borg,37 592
Bob Dylan,Bob Dylan,25 815
Bob Marley,Bob Marley,55 683
Boby Lapointe,Boby Lapointe,7 372
Bono,Bono,8 314
Boris Becker,Boris Becker,19 534
Boris Eltsine,Boris Eltsine,8 523
Boris Vian,Boris Vian,25 542
Bourvil,Bourvil,38 931
Boutros Boutros-Ghali,Boutros Boutros-Ghali,2 576
Brad Pitt,Brad Pitt,44 983
Bradley Cooper,Bradley Cooper,26 751
Brian Johson,Ice Cube,22 945
Brigitte Bardot,Brigitte Bardot,38 446
Brigitte Fontaine,Brigitte Fontaine,7 687
Brigitte Lahaie,Brigitte Lahaie,16 173
Brigitte Macron,Brigitte Macron,97 760
Britney Spears,Britney Spears,30 305
Bruce Lee,Bruce Lee,36 217
Bruno Cremer,Bruno Cremer,4 572
Bruno Masure,Bruno Masure,3 244
Bruno Mégret,Bruno Mégret,3 938
Bruno Salomone,Bruno Salomone,6 898
Bruno Solo,Bruno Solo,23 013
Brutus,Brutus,568
Bryan Adams,Bryan Adams,6 886
Bryan Cranston,Bryan Cranston,13 287
Buffalo Bill,Buffalo Bill,5 500
Butch Cassidy,Butch Cassidy,2 061
Cabu,Cabu,12 095
Calamity Jane,Calamity Jane,7 022
Cali,Cali,3 998
Calogero,Calogero,65 120
Calvin Klein,Calvin Klein,4 839
Camélia Jordana,Camélia Jordana,13 835
Cameron Diaz,Cameron Diaz,18 420
Camila Alves,Camila Pitanga,528
Camille,Camille,1 427
Camille Claudel,Camille Claudel,15 945
Carl Lewis,Carl Lewis,5 093
Carla Bruni-Sarkozy,Carla Bruni-Sarkozy,18 362
Carlos,Carlos,803
Carmen Maura,Carmen Maura,1 433
Carole Bouquet,Carole Bouquet,15 531
Casey Affleck,Casey Affleck,7 175
Cat Stevens,Cat Stevens,10 133
Cate Blanchett,Cate Blanchett,31 473
Catherine de Medicis,Catherine de Médicis,36 102
Catherine Deneuve,Catherine Deneuve,24 643
Catherine Frot,Catherine Frot,13 136
Catherine Lara,Catherine Lara,4 865
Catherine Ringer,Catherine Ringer,21 505
Cauet,Sébastien Cauet,9 447
Cécile de France,Cécile de France,12 656
Cécilia Attias (ex Sarkozy),Cécilia Attias,6 322
Cecilia Bartoli,Cecilia Bartoli,1 387
Cédric Herrou,Cédric Herrou,3 506
Cédric Klapisch,Cédric Klapisch,12 654
Cédric Pioline,Cédric Pioline,10 012
Célestin Freinet,Célestin Freinet,3 067
Céline Dion,Céline Dion,39 463
Cesar,Cesar,480
César Franck,César Franck,2 193
Cesaria Evora,Cesária Évora,7 013
Chantal Goya,Chantal Goya,10 459
Chantal Lauby,Chantal Lauby,10 255
Charb,Charb,2 993
Charlélie Couture,Charlélie Couture,4 338
Charlemagne,Charlemagne,42 400
Charlène de Monaco,Charlene Wittstock,12 960
Charles Aznavour,Charles Aznavour,42 960
Charles Baudelaire,Charles Baudelaire,87 059
Charles Berling,Charles Berling,4 458
Charles Darwin,Charles Darwin,22 232
Charles de Gaulle,Charles de Gaulle,94 299
Charles Enderlin,Charles Enderlin,1 198
Charles Manson,Charles Manson,31 750
Charles Trenet,Charles Trenet,13 783
Charlie Chaplin,Charlie Chaplin,40 413
Charlotte Brontë,Charlotte Brontë,3 457
Charlotte Cordet,Corday,23
Charlotte de Turckheim,Charlotte de Turckheim,12 961
Charlotte Gainsbourg,Charlotte Gainsbourg,29 141
Charlotte Rampling,Charlotte Rampling,8 168
Cheb Mami,Cheb Mami,4 568
Cher,Cher,579
Chimère Badi,Histoire de l'Algérie,8 063
